ticker,company name,sector,sub-industry,date first added,newsDateLength
MMM,3M Company,Industrials,Industrial Conglomerates,1976-08-09,104
ABT,Abbott Laboratories,Health Care,Health Care Equipment,1964-03-31,77
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,2012-12-31,52
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,2018-05-31,253
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,2011-07-06,48
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,2015-08-31,61
ADBE,Adobe Inc.,Information Technology,Application Software,1997-05-05,58
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,2017-03-20,31
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,2015-07-09,231
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,1998-10-02,210
AFL,AFLAC Inc,Financials,Life & Health Insurance,1999-05-28,233
A,Agilent Technologies Inc,Health Care,Health Care Equipment,2000-06-05,215
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,1985-04-30,182
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,2007-07-12,207
ALK,Alaska Air Group Inc,Industrials,Airlines,2016-05-13,78
ALB,Albemarle Corp,Materials,Specialty Chemicals,2016-07-01,218
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2017-03-20,289
ALXN,Alexion Pharmaceuticals,Health Care,Pharmaceuticals,2012-05-25,70
ALGN,Align Technology,Health Care,Health Care Supplies,2017-06-19,56
ALLE,Allegion,Industrials,Building Products,2013-12-02,336
LNT,Alliant Energy Corp,Utilities,Electric Utilities,2016-07-01,413
ALL,Allstate Corp,Financials,Property & Casualty Insurance,1995-07-13,132
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2014-04-03,8
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2006-04-03,8
MO,Altria Group Inc,Consumer Staples,Tobacco,1957-03-04,107
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,3
AMCR,Amcor plc,Materials,Paper Packaging,2019-06-07,558
AEE,Ameren Corp,Utilities,Multi-Utilities,1991-09-19,331
AAL,American Airlines Group,Industrials,Airlines,2015-03-23,34
