ticker,company name,sector,sub-industry,date first added
MMM,3M Company,Industrials,Industrial Conglomerates,1976-08-09
ABT,Abbott Laboratories,Health Care,Health Care Equipment,1964-03-31
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,2012-12-31
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,2018-05-31
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,2011-07-06
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,2015-08-31
ADBE,Adobe Inc.,Information Technology,Application Software,1997-05-05
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,2017-03-20
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,2015-07-09
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,1998-10-02
AFL,AFLAC Inc,Financials,Life & Health Insurance,1999-05-28
A,Agilent Technologies Inc,Health Care,Health Care Equipment,2000-06-05
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,1985-04-30
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,2007-07-12
ALK,Alaska Air Group Inc,Industrials,Airlines,2016-05-13
ALB,Albemarle Corp,Materials,Specialty Chemicals,2016-07-01
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2017-03-20
ALXN,Alexion Pharmaceuticals,Health Care,Pharmaceuticals,2012-05-25
ALGN,Align Technology,Health Care,Health Care Supplies,2017-06-19
ALLE,Allegion,Industrials,Building Products,2013-12-02
LNT,Alliant Energy Corp,Utilities,Electric Utilities,2016-07-01
ALL,Allstate Corp,Financials,Property & Casualty Insurance,1995-07-13
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2014-04-03
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2006-04-03
MO,Altria Group Inc,Consumer Staples,Tobacco,1957-03-04
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18
AMCR,Amcor plc,Materials,Paper Packaging,2019-06-07
AEE,Ameren Corp,Utilities,Multi-Utilities,1991-09-19
AAL,American Airlines Group,Industrials,Airlines,2015-03-23
AEP,American Electric Power,Utilities,Electric Utilities,1957-03-04
AXP,American Express Co,Financials,Consumer Finance,1976-06-30
AIG,American International Group,Financials,Property & Casualty Insurance,1980-03-31
AMT,American Tower Corp.,Real Estate,Specialized REITs,2007-11-19
AWK,American Water Works Company Inc,Utilities,Water Utilities,2016-03-04
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2005-10-03
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,2001-08-30
AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,2013-09-23
AMGN,Amgen Inc.,Health Care,Biotechnology,1992-01-02
APH,Amphenol Corp,Information Technology,Electronic Components,2008-09-30
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,1999-10-12
ANSS,"ANSYS, Inc.",Information Technology,Application Software,2017-06-19
ANTM,Anthem,Health Care,Managed Health Care,2002-07-25
AON,Aon plc,Financials,Insurance Brokers,1996-04-23
AOS,A.O. Smith Corp,Industrials,Building Products,2017-07-26
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,1997-07-28
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1982-11-30
AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,1995-03-16
APTV,Aptiv PLC,Consumer Discretionary,Auto Parts & Equipment,2012-12-24
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,1981-07-29
ANET,Arista Networks,Information Technology,Communications Equipment,2018-08-28
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2016-05-31
AIZ,Assurant,Financials,Multi-line Insurance,2007-04-10
T,AT&T Inc.,Communication Services,Integrated Telecommunication Services,1983-11-30 (1957-03-04)
ATO,Atmos Energy,Utilities,Gas Utilities,2019-02-15
ADSK,Autodesk Inc.,Information Technology,Application Software,1989-12-01
ADP,Automatic Data Processing,Information Technology,Internet Services & Infrastructure,1981-03-31
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,1997-01-02
AVB,AvalonBay Communities,Real Estate,Residential REITs,2007-01-10
AVY,Avery Dennison Corp,Materials,Paper Packaging,1987-12-31
BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,2017-07-07
BLL,Ball Corp,Materials,Metal & Glass Containers,1984-10-31
BAC,Bank of America Corp,Financials,Diversified Banks,1976-06-30
BK,The Bank of New York Mellon,Financials,Asset Management & Custody Banks,1995-03-31
BAX,Baxter International Inc.,Health Care,Health Care Equipment,1972-09-30
BDX,Becton Dickinson,Health Care,Health Care Equipment,1972-09-30
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2010-02-16
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,1999-06-29
BIO,Bio-Rad Laboratories,Health Care,Life Sciences Tools & Services,2020-06-22
BIIB,Biogen Inc.,Health Care,Biotechnology,2003-11-13
BLK,BlackRock,Financials,Asset Management & Custody Banks,2011-04-04
BA,Boeing Company,Industrials,Aerospace & Defense,1957-03-04
BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2009-11-06
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,2011-12-19
BXP,Boston Properties,Real Estate,Office REITs,2006-04-03
BSX,Boston Scientific,Health Care,Health Care Equipment,1995-02-24
